a;b
1;2.277621767
2;4.009112553
3;13.03354157
4;5.672541957
5;6.046438676
6;14.05532493
7;7.86458103
8;-0.685306173
9;2.285735741
10;3.57169015
11;12.00040899
12;7.759069135
13;8.043857253
14;6.67341358
15;3.420794326
16;15.21456568
17;8.849252391
18;-3.393085783
19;10.02677951
20;4.236042961
21;1.34088147
22;5.670125427
23;1.709977758
24;3.275543854
25;3.874803661
26;-1.353466554
27;11.34893522
28;8.006865589
29;1.629315315
30;13.66907461
31;9.612321107
32;6.084642585
33;12.11562831
34;12.11066744
35;11.90790541
36;11.32320127
37;10.72958827
38;7.730441447
39;6.590186681
40;6.297644995
41;4.806465105
42;7.32041361
43;2.113018242
44;19.36477983
45;14.63980999
46;3.064457084
47;6.745575824
48;6.506723232
49;12.81982559
50;8.583154668
51;10.34659257
52;9.017266223
53;9.025647714
54;16.16301142
55;8.271145072
56;17.06235302
57;1.816235979
58;12.56306875
59;10.33927122
60;10.87970784
61;11.77819741
62;7.448382734
63;8.373963082
64;5.027123084
65;4.841043868
66;11.79764321
67;12.60104889
68;10.70502113
69;15.13133734
70;20.85042343
71;8.22484417
72;-0.785844378
73;15.86869262
74;7.373996187
75;7.559956918
76;16.20785685
77;9.736134965
78;5.136411439
79;12.2265174
80;10.70554319
81;11.50882093
82;13.48640201
83;9.786699841
84;14.94188274
85;10.69756719
86;13.53890982
87;17.44419507
88;14.21590745
89;10.49034207
90;17.94403809
91;17.24751928
92;15.1019848
93;13.63365868
94;9.38046962
95;19.40326224
96;9.678702064
97;23.69666497
98;20.50305313
99;11.7414982
100;7.867895498
